time,x,y,z
0.006,-0.06,-0.03,-0.52
0.009,-0.02,-0.01,-0.32
0.018,-0.00,-0.01,0.04
0.020,0.02,-0.04,0.21
0.024,0.02,-0.01,0.24
0.029,-0.00,-0.04,0.01
0.034,-0.05,0.00,-0.15
0.039,-0.01,-0.02,-0.19
0.045,0.01,-0.04,0.01
0.049,-0.02,-0.02,0.07
0.054,0.01,-0.02,0.04
0.059,-0.03,-0.01,0.06
0.066,-0.03,-0.00,-0.02
0.069,-0.01,-0.04,0.03
0.074,-0.03,-0.01,-0.00
0.079,-0.03,0.01,0.05
0.085,-0.01,-0.01,0.05
0.089,-0.05,-0.05,0.01
0.094,-0.04,-0.01,-0.02
0.099,0.01,-0.03,0.05
0.105,-0.03,-0.02,-0.02
0.109,0.01,-0.03,-0.00
0.114,0.00,-0.00,-0.07
0.119,-0.02,-0.01,0.05
0.125,-0.02,0.00,0.03
0.130,0.02,0.00,0.01
0.145,-0.04,-0.04,-0.04
0.146,-0.01,-0.03,0.02
0.147,-0.01,-0.04,-0.09
0.152,-0.02,-0.01,0.01
0.158,0.05,-0.04,0.00
0.160,0.01,0.01,-0.05
0.165,-0.03,-0.01,0.03
0.170,-0.04,-0.02,-0.10
0.175,-0.01,0.01,0.07
0.180,-0.01,-0.05,-0.08
0.185,-0.01,0.03,0.03
0.190,-0.01,-0.01,-0.05
0.194,-0.02,0.00,0.01
0.200,-0.01,-0.02,0.01
0.205,-0.00,-0.03,0.07
0.210,0.00,-0.01,-0.02
0.215,-0.00,-0.00,-0.02
0.220,0.03,-0.04,-0.02
0.225,-0.05,-0.00,-0.01
0.230,-0.05,-0.02,-0.06
0.235,-0.03,0.01,-0.01
0.240,-0.01,-0.02,0.04
0.245,-0.02,-0.04,0.08
0.251,-0.02,-0.04,-0.03
0.255,-0.01,0.00,0.01
0.260,-0.01,-0.06,-0.01
0.265,0.01,-0.01,-0.01
0.271,-0.01,-0.04,-0.04
0.275,0.00,-0.04,0.09
0.280,-0.01,0.00,-0.04
0.293,-0.04,-0.04,-0.05
0.294,-0.02,-0.00,-0.02
0.296,-0.04,-0.00,0.03
0.300,-0.01,-0.03,0.00
0.307,0.02,-0.00,-0.01
0.310,-0.01,-0.02,0.02
0.315,-0.00,-0.03,-0.09
0.320,-0.04,-0.01,-0.05
0.325,0.01,-0.04,0.02
0.330,0.05,-0.03,0.01
0.336,-0.02,-0.01,-0.02
0.340,-0.04,-0.02,0.04
0.345,0.01,0.01,-0.00
0.350,-0.01,-0.02,-0.03
0.355,-0.01,-0.03,-0.07
0.360,-0.03,-0.04,-0.03
0.365,0.01,-0.04,0.01
0.370,0.01,-0.01,0.04
0.375,-0.00,0.00,-0.06
0.380,-0.01,-0.01,0.00
0.385,-0.03,-0.01,0.05
0.395,0.03,-0.04,-0.03
0.396,0.04,-0.04,0.00
0.400,-0.03,-0.03,0.00
0.407,0.01,-0.04,-0.02
0.410,-0.05,-0.02,-0.01
0.418,-0.03,-0.00,-0.05
0.420,-0.02,-0.02,-0.07
0.425,-0.02,-0.01,-0.03
0.430,0.02,-0.02,0.03
0.435,-0.04,-0.01,-0.03
0.440,0.01,0.01,0.02
0.445,-0.01,-0.02,-0.02
0.450,-0.01,-0.01,0.02
0.455,-0.03,0.00,0.00
0.460,-0.00,0.01,-0.08
0.465,-0.03,-0.05,-0.01
0.471,-0.05,-0.01,-0.06
0.475,-0.02,0.01,0.02
0.480,-0.01,-0.00,-0.09
0.486,-0.01,-0.01,0.01
0.490,0.01,-0.01,0.03
0.495,0.01,-0.03,0.06
